position,trap,cell_label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282
htb2mCherry_001,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
htb2mCherry_001,13,1,1.0,0.8161106478215213,0.661022935277668,0.5060783635226412,0.31713056188589034,0.1235370017689265,-0.08299293063032027,-0.22869295685171478,-0.33313764332899554,-0.41596548596969934,-0.47063081929363054,-0.43926513850677845,-0.35863087887403267,-0.26274668107439525,-0.1571070276799111,-0.05255771803413815,0.06666878228208202,0.16590950087870324,0.21231300256035016,0.2436106959751289,0.2411944800763547,0.2360896104794418,0.18508000909236916,0.1216836674309392,0.04791714184331473,-0.05534479295389119,-0.12118622443429411,-0.19379304706112752,-0.2610571990778335,-0.297502936289685,-0.30028783824698935,-0.282852514086439,-0.24574804172464934,-0.19922326525344164,-0.1257580710504249,-0.034851085878046265,0.016845997456456697,0.08289794845661784,0.1398226726203633,0.1832834794122644,0.23362131310204307,0.23082792343676867,0.2099154361577088,0.17094766517912857,0.09345036834218474,-0.009709040890124055,-0.07782046540824093,-0.13850459602707588,-0.17864703171321264,-0.24438575256649941,-0.2732030052168986,-0.24325157278748985,-0.20471629298758434,-0.16656665606459395,-0.03502045905336999,0.09337974217067155,0.21736890806345777,0.32974039987608134,0.3877350058735393,0.41308517934999045,0.3838351928834594,0.33518124198047766,0.21123968745484437,0.12875506076924018,0.0055671027262683605,-0.128607056366913,-0.24367206839678643,-0.3252730028983756,-0.35430642238339904,-0.37413450218778466,-0.34651889898615695,-0.2929250507462106,-0.18299583336064743,-0.08574878374367127,0.02047772577571751,0.18001930812649752,0.25964113565054214,0.3231038352953624,0.386841690203032,0.351195509100587,0.3349982398479956,0.2939225706969808,0.1865743899489673,0.09664615410972015,-0.05002326681297346,-0.17492011485444287,-0.26468134148250455,-0.344912488129348,-0.3978876378341732,-0.391718542041715,-0.35126177487296134,-0.2797468843696637,-0.16924082726909181,-0.06408053892096222,0.07672178274184151,0.19601170979592353,0.28935697305522823,0.3373116412365006,0.36699503682783285,0.35424385939635694,0.2767551386837866,0.16168707330348037,0.05027520147261392,-0.07607744704494832,-0.1431327754522922,-0.22216945337096952,-0.3353312373233493,-0.37587395069939505,-0.3709178630335834,-0.32822439709064744,-0.3006274171626229,-0.2318923788716498,-0.12464179707390338,-0.020043074681743035,0.06067372138703873,0.19771214052581554,0.3135871053086447,0.3828185226848342,0.4141004901428325,0.382991590217299,0.3458561436360572,0.28523468015683384,0.18246973544225562,0.08380179916119841,-0.017416627968945098,-0.1624159364100573,-0.23869510858041604,-0.3265653779959834,-0.35930061381761913,-0.341327203468345,-0.31647126230956546,-0.25439886955106167,-0.132992593706955,-0.03503552030800671,0.05960123403157942,0.1905179283111252,0.2907381628820756,0.3605627123638737,0.40306724220610085,0.4083378171130426,0.3682764273368219,0.2908801765682932,0.1624667684062436,-0.025331621423262663,-0.18170717953261675,-0.3371219057699095,-0.44912128917998756,-0.5302497869859418,-0.5906525312278808,-0.5941422725567008,-0.5055919014867741,-0.3645958230200653,-0.21322789432862563,-0.03233711077106419,0.1067143168100051,0.275830291615113,0.4152404398971722,0.42218031337349243,0.4382393071085107,0.44737909974395595,0.3657227631068931,0.26728466021634756,0.1685527764553402,0.09850744403494337,0.036088896182886555,-0.08625902604717106,-0.19016896714957404,-0.22202924372616759,-0.21467365093809326,-0.22035152736342553,-0.21178384696223482,-0.1631779841542537,-0.03177450312583615,0.030217830115114596,0.09115624995189055,0.14688570113089208,0.2296462622698995,0.2781072300751352,0.2628807438250411,0.27217078238838727,0.27015773986354336,0.20514279193036966,0.09736524858385597,-0.006663796144415567,-0.09304140211937816,-0.16587892819572037,-0.24841566971303455,-0.28443732668709254,-0.3162093917388655,-0.33056540829674064,-0.2657200040636354,-0.20667989785056412,-0.10889819843460359,0.05250820516442256,0.17896997179431837,0.26009884859661353,0.34151628076053486,0.34760270796860204,0.3732472585103971,0.34560462544748327,0.2324229821303408,0.11137733934094604,-0.032178564568038005,-0.169080147981558,-0.29798313264480264,-0.4388343819179774,-0.5005001415833311,-0.46246263860044645,-0.46584248388674937,-0.3797425082718981,-0.25133182633514256,-0.1388833895977833,0.016470761183843583,0.19586020821586095,0.3086013835939461,0.4031152354272515,0.4244618812071382,0.4035881828119312,0.35885417303062594,0.2834332866249129,0.18140296160965316,0.030502869452368006,-0.10659581212934112,-0.2415592142433384,-0.40633553569899233,-0.47494607476461465,-0.4724685453459034,-0.43808957049230823,-0.3537755606803055,-0.31616348477715644,-0.24267505791222715,-0.09515415148843825,-0.004171487182757883,0.10431063049903314,0.26015604779365403,0.32917548982689965,0.38309813826504363,0.3643550155313257,0.2929971116340191,0.24997304993229044,0.17080697375592385,0.09553338128210652,0.009882707806385827,-0.13374253478618225,-0.17570810710857918,-0.2168436670577043,-0.31111735083237674,-0.2830694950754971,-0.20257574811901694,-0.0447972328209007,0.20526790247947052,0.4925906646703683,0.6655835500487872,0.8100458780530402,0.9763607265654629,1.1593085175007696,1.248408810576175,1.3174194575800298,1.2951844087058575,1.1203911624302922,0.827072733228877,0.5416989230016873,0.23230607151259683,-0.11277109363875909,-0.4189194049139993,-0.737790499002792,-1.1235646670914052,-1.3744805842773988,-1.5245227007520885,-1.6867899544513467,-1.6452005706948416,-1.5504345664937806,-1.5355790064550088,-1.4063489284674533,-1.2692798676774508,-1.1042077555903933,-0.7431500014589622,-0.5197131362718289,-0.3478369539387079,-0.29308511485511457,-0.45855745868958,-0.38863835312695866,-0.13407372629318765
htb2mCherry_001,19,1,0.9999999999999998,0.7030363893362522,0.5886605276145458,0.3804317613293689,0.2235873688629208,0.016013030892364083,-0.11177142147410124,-0.2232206931248664,-0.30408057223848706,-0.36660514257515503,-0.35976760867461643,-0.3249175802828368,-0.25626029060330136,-0.2029989477803377,-0.09479655563368904,-0.03662476587192162,0.04949741888463313,0.0800858291525425,0.14678500126185703,0.16094020803057382,0.18381893226012602,0.08701465498700658,0.039829313041763584,-0.05260946037503342,-0.10286235968013197,-0.20346818011536413,-0.27653799604780804,-0.28428741483820513,-0.23772488030573827,-0.22825247635899393,-0.12757472295209732,-0.05605994815560385,0.006794997418970198,0.04476003157308581,0.10021611220648458,0.13870703703304402,0.1687115157108883,0.19173129351903007,0.20579975550600352,0.17719338185288447,0.13567930597177197,0.006756963232751769,-0.04690165920754301,-0.11599491017467228,-0.12867711988650798,-0.20060661629072804,-0.20405940521901592,-0.24040019581663208,-0.19066351863509579,-0.16554660106663177,-0.11431296960550412,-0.05374196208835495,0.010436459659361757,0.04481824668713895,0.07010334718277914,0.07680846204857775,0.09193812563589888,0.0943305384667009,0.1464823247217607,0.1612571364186355,0.20230243866019432,0.16544672537000074,0.18240179414403432,0.13206066179982784,0.13060539941595647,0.06379572861144504,0.04568425976929565,0.008355943784394165,0.007020133226195774,-0.03858156782511467,-0.022509795669986808,-0.04873357245429792,-0.016960846867379316,-0.022323766467527775,-0.02613189827104427,-0.07706392250341294,-0.0678219866330556,-0.09771439280056651,-0.1300257188773003,-0.16728353638671653,-0.17479135092221892,-0.21352991284790596,-0.20477967252336476,-0.1521911772030489,-0.14126059412144715,-0.1370180731114345,-0.08603126415888797,-0.0798227801537162,0.01898767498408011,0.019655331894377657,0.11724446600163232,0.1297727501577711,0.1879093336598004,0.18423158852849034,0.19980905992745202,0.16056764443658972,0.15706102305305336,0.1572629415707623,0.1322164695962653,0.05726457386770377,0.059567510932142645,0.03915260051891893,0.05708144563804791,0.053078277412115814,0.08016979176872398,0.07398372887111396,0.03704763591080582,0.013488828182260333,0.07096991768839186,0.020129484781295694,0.06145189830177826,0.023528115448186483,0.06730089720118476,0.015457940940758015,-0.022758828849025855,-0.09281438224753713,-0.09272277562399973,-0.19105526536075632,-0.22117993264681765,-0.22677746450161942,-0.19532060397479298,-0.17568900436392113,-0.08227879935513846,-0.04226309426607225,-0.0076780185693896014,0.05847235057577276,0.11471822182763979,0.13779076211128471,0.19857781093487506,0.1463861124755927,0.1169998846960056,0.049137898828627076,0.030873524772161997,-0.06089773746938191,-0.13685822400968423,-0.22764840494353017,-0.2485671336907184,-0.2842095479930574,-0.35825661924627394,-0.2822334658421387,-0.2040466262853285,-0.10945537753943782,0.005559762935013373,0.10107469284371258,0.15281266940164742,0.16903658946092823,0.15656261464704502,0.17001913500154708,0.20026446318585378,0.12166297572826403,0.11378665850339481,0.04856148622081877,0.047517307159797455,-0.006837663415361227,-0.0484421119141086,-0.03439552772956745,-0.010171241913059171,-0.03722755989162915,-0.052190635119667234,-0.011224835730890623,0.0345475263190489,0.062350084922604646,0.1412688473555619,0.190604540114954,0.23829004242090676,0.2065376812520452,0.21062367887888903,0.1842452634812757,0.0610373932590245,-0.04034957597402107,-0.08614039311010112,-0.11236143805480349,-0.11933673987238169,-0.11171374101731472,-0.08339639417319697,-0.08632263270286158,-0.02209674701865763,-0.06897125615192425,-0.041048717789089036,-0.08546947586580399,0.005799969675979785,-0.007419319326123956,0.010165789301207158,0.005912014570324634,-0.054565481051240705,-0.07398252851644994,-0.05954798422855604,-0.05171612967099128,-0.06693147752238528,-0.07257823000809384,-0.044181180601057794,-0.056438722623975056,-0.05078286771076296,-0.010243677899687715,0.04256977033989775,0.0982087529353295,0.10767296816195722,0.024129455823319886,-0.054637842764958706,-0.11492751915330333,-0.1631384979259752,-0.10062024166662244,-0.06311555011896171,0.033365881827468066,0.12114010807138681,0.2145859462178534,0.2697941658891606,0.2859951340912128,0.275693373310424,0.20899986040965646,0.18906765473942447,0.13180352673535556,-0.013005736754329264,0.029299391190011365,-0.0390682336676972,-0.0790330424365765,-0.14212863438901538,-0.1743713435519511,-0.1986661263316479,-0.23692941446322652,-0.09798547485771135,-0.058142957060399424,0.042308366659569836,0.07836753686335288,0.21606390730871086,0.2561931532941694,0.36853804173528304,0.32421592200747607,0.18718124352754864,-0.0007121984305673562,-0.2332375681476331,-0.37239024896490297,-0.5778773717171473,-0.49465968000231886,-0.47383265360734544,-0.40977962490131953,-0.3346723763643447,-0.2869995037974133,-0.057643214046827713,0.053982314408551946,0.25420336775267227,0.32370870614739394,0.3772329130857572,0.37872874357585185,0.4380641283854067,0.4857314901278223,0.32579687485474745,0.2301221753228067,0.02282217315217558,-0.12581153818898205,-0.4159852955147461,-0.6437780890564475,-0.78372326038084,-0.6667432729474756,-0.6935903489459669,-0.45239725481609666,-0.37119860762387674,-0.03997994464000544,-0.02935053370206274,0.2533351620479418,0.11996765622867546,0.25645246671989214,0.17080727752854025,0.17454539546364498,0.27609109519516106,0.3454974057095381,0.48353987423889394,0.5968196250587476,0.6785586255797322,0.6141595952184304,0.4380530256028591,0.4515106811219109,0.14814636361962194,-0.06840041563566326,-0.35035296012152733,-0.6414373832867946,-0.4840299723185575,-0.4688876182684498,-0.0987485494654389,0.05177296443293762,0.20501672039775568,0.21124477777778555,0.029072927635268687
htb2mCherry_001,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
htb2mCherry_001,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
htb2mCherry_001,34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
htb2mCherry_001,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
htb2mCherry_001,45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
htb2mCherry_001,46,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
htb2mCherry_001,47,1,1.0,0.7100897786310041,0.5907732618076075,0.37154540321389323,0.17843225540713806,-0.0027712254326163898,-0.18303470244622666,-0.2809672100145251,-0.4009926373133232,-0.3628606421981161,-0.38931073815015327,-0.336554723247581,-0.28590585892959053,-0.22185204122394717,-0.1192079269950005,-0.06810435816726598,0.07537746713467791,0.12660911940182826,0.20709517348621617,0.1917246893356291,0.20432409501911145,0.20292746251942753,0.15065956402911435,0.08368401447291093,-0.06365987412875217,-0.1075344390394825,-0.1872215422688407,-0.19870217370593812,-0.24640629407041256,-0.23307854182142454,-0.2182876795376948,-0.15844646589617542,-0.04544873947059014,-0.011156157807916903,0.0900718131414747,0.12314021746269586,0.1521444460757366,0.14584315835166714,0.10940086160144036,0.15767076016973272,0.10606140580864844,0.11168710311222793,0.07066304696366212,0.07809759637843397,0.058673742862151164,0.020786607659232823,-0.0871850429091905,-0.13716134716274975,-0.14645336290761243,-0.19229007171622056,-0.2288312355495681,-0.23243704928430198,-0.2298562911459706,-0.15875758013487606,-0.09729838091259245,-0.05202035322572126,-0.02865149270970019,0.011989921162497582,0.030573400161399283,0.07324251355892128,0.0782621476345953,0.11809590220725201,0.13394481945403203,0.1352447232158342,0.16438224245672609,0.1336359843432454,0.14250405446602246,0.09385862862514895,0.07165057200188346,0.04607800449662685,0.024845133077254902,0.006344400511157381,-0.06368143297086323,-0.09443679306031869,-0.1071169270760556,-0.11261729707337087,-0.08098717486297799,-0.08725328745618349,-0.024189967143661114,-0.021392575697810005,0.09872563991339109,0.11351758075647476,0.16377884783380514,0.1900440208982002,0.1827608124402261,0.20102001595606359,0.1516972202705166,0.15783461311071528,0.11462659881846454,0.050687259779931944,-0.0013406139869654083,-0.099110350802997,-0.12356409171701328,-0.19353890231833687,-0.20008773519923156,-0.26118829531266996,-0.20870320761783417,-0.1997725155749362,-0.1454162186649789,-0.11001267693250062,-0.12629830662714847,-0.0356756392383919,-0.001711683340937277,0.07790506882870123,0.09136645243838452,0.12234319819805127,0.18102792562686215,0.17469859298092663,0.1908139122909448,0.10981776223387192,0.1058997905660485,0.012786989319693616,-0.030515060609465648,-0.07259858832196664,-0.0913011783256008,-0.04980360262726388,-0.060061132269305484,-0.028662654815340624,-0.028503773540095118,0.036361966606838284,-0.02059579299394155,-0.009388063013448784,-0.029596277482664253,-0.06979885526244226,-0.0667196226364901,-0.1393336808934064,-0.13852372557688666,-0.1483532211076588,-0.05809663747574252,-0.04485228750212799,-0.010432980857762335,0.05573461689424587,0.05483220189603768,0.15137157499958057,0.07081190019676524,0.11230681835540138,0.0035830002337926417,-0.01909750149277002,-0.07018368431630755,-0.08067423626211749,-0.11545715327546942,-0.10673705310981632,-0.046598670478244654,-0.09930518076759746,-0.03302919195053856,-0.02246240214561582,0.03807239933472076,0.11351196272178705,0.15126717972335005,0.26209220256780774,0.3329737562123569,0.41603704606817277,0.3761671011699935,0.32995274310865497,0.230577045337655,0.11875476930175508,0.003582614061954939,-0.18562138919438115,-0.27867191306482786,-0.44001041768665217,-0.4323109775073644,-0.4766754024120364,-0.36470530020936137,-0.271937847707076,-0.1624129275550719,-0.008802908077025894,0.07099000307951918,0.23346632382657798,0.32498046371647804,0.3572910430094822,0.37459281266189376,0.38488395858724145,0.3899689897267581,0.2539966248157144,0.18769312398092045,0.03553123406185426,-0.051663769862698515,-0.14717560254617973,-0.22796803844083635,-0.31196544032718715,-0.43429186185398,-0.4597438028103717,-0.4442908066474169,-0.39659869548308185,-0.26490349889445647,-0.23202117058820854,-0.05081690013412953,-0.012510661229028755,0.1128260498556169,0.2077489330953386,0.25809907195142934,0.240206411608185,0.26830502011250085,0.2836486100627103,0.23583741668319352,0.21306868479413668,0.11093718099922306,0.048912087442303284,-0.06950271820754382,-0.09959341956022624,-0.1698626498741121,-0.21245886538710057,-0.24882156728816562,-0.2521466787907289,-0.17801214028619664,-0.11597857556075293,-0.08460189427473999,-0.03164399892442729,-0.004059063896258081,0.06921003416189357,0.171311855157105,0.3747176030127711,0.3650711936851149,0.39697955291415343,0.24355392631831432,0.1334676797661593,-0.05266822131871064,-0.18767976608265088,-0.2581337348632027,-0.3663835810888323,-0.34643614875171586,-0.3093774463568278,-0.2312098396949042,-0.21444207681545266,-0.16559295783071407,-0.06520821218805373,-0.022333486679363575,0.10151237529600615,0.18154059703055098,0.3141059453609373,0.27917855886731235,0.4007919855436999,0.38777906984210686,0.3388345871811426,0.4328287908500726,0.26400410148114156,0.2453832385059343,0.15003555680795883,0.12769506861002114,-0.04186222374109238,-0.004098003783737109,-0.1443662350128969,-0.3009404588326638,-0.23086087047991927,-0.41659001076661895,-0.34131372594519277,-0.3895900990984731,-0.3238063599144158,-0.28308727822693225,-0.1081908801011374,0.04822985003343683,-0.01576830782626028,0.30136437810677263,0.26302700723909217,0.4254207389549865,0.40697001771633157,0.44493236757888355,0.3607697780241101,0.2088803036404327,0.16924607428291014,-0.02192383974150824,-0.07136659455508393,-0.2612042465831949,-0.31034688805869326,-0.4045224240783528,-0.4645541534619537,-0.1938773033532302,-0.11693106264213136,0.13026047480499875,0.1915578709650563,0.3860177398387266,0.30286412377076816,0.23291528797661182,0.2255048445469531,0.0803936170427619,0.06734173024374526,-0.10826348442408565,0.09355380289515987,-0.14674838950341615,0.02324428286035308,-0.05295560605786227,-0.0007394073201325659,-0.007572401668394578
